timestamp,lat,lon,state,district,temperature_c,humidity_percent,pressure_hpa,wind_speed_kmh,cloud_cover_percent,rainfall_mm_1h,rainfall_mm_3h,rainfall_mm_24h,intensity_class,condition_label,data_mode
2026-08-30T00:00:00Z,30.485,79.692,Uttarakhand,Chamoli,19.5,92.0,1010.5,8.5,75,2.5,7.2,28.0,LIGHT_RAIN,LIGHT_RAIN,DEMO
2026-08-30T01:00:00Z,30.485,79.692,Uttarakhand,Chamoli,19.1,94.0,1010.0,9.0,82,4.0,11.5,34.5,MODERATE_RAIN,MODERATE_RAIN,DEMO
2026-08-30T02:00:00Z,30.485,79.692,Uttarakhand,Chamoli,18.8,95.0,1009.5,10.5,90,8.0,19.5,44.0,HEAVY_RAIN,HEAVY_RAIN,DEMO
2026-08-30T03:00:00Z,30.485,79.692,Uttarakhand,Chamoli,18.3,96.5,1008.8,14.0,97,16.0,35.5,62.0,HEAVY_RAIN,HEAVY_RAIN,DEMO
2026-08-30T04:00:00Z,30.485,79.692,Uttarakhand,Chamoli,17.9,97.5,1007.5,18.5,100,22.0,50.0,82.0,VERY_HEAVY_RAIN,VERY_HEAVY_RAIN,DEMO
2026-08-30T05:00:00Z,30.485,79.692,Uttarakhand,Chamoli,17.5,98.0,1006.5,22.0,100,18.5,48.0,95.5,VERY_HEAVY_RAIN,THUNDERSTORM,DEMO
2026-08-30T06:00:00Z,30.485,79.692,Uttarakhand,Chamoli,17.2,97.5,1006.8,19.0,98,14.0,42.0,104.0,HEAVY_RAIN,HEAVY_RAIN,DEMO
2026-08-30T07:00:00Z,30.485,79.692,Uttarakhand,Chamoli,17.5,97.0,1007.2,16.5,95,10.0,36.0,112.0,HEAVY_RAIN,HEAVY_RAIN,DEMO
2026-08-30T08:00:00Z,30.485,79.692,Uttarakhand,Chamoli,18.0,96.0,1008.0,14.0,90,7.5,28.5,118.5,MODERATE_RAIN,MODERATE_RAIN,DEMO
2026-08-30T09:00:00Z,30.485,79.692,Uttarakhand,Chamoli,18.8,94.0,1009.0,12.0,85,5.0,21.0,122.5,MODERATE_RAIN,MODERATE_RAIN,DEMO
2026-08-30T10:00:00Z,30.485,79.692,Uttarakhand,Chamoli,20.0,90.0,1010.5,10.5,80,2.5,14.5,124.0,LIGHT_RAIN,LIGHT_RAIN,DEMO
2026-08-30T11:00:00Z,30.485,79.692,Uttarakhand,Chamoli,21.4,88.0,1012.0,9.0,75,0.5,8.5,124.5,LIGHT_RAIN,PARTLY_CLOUDY,DEMO
